                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3293,                  4.348,                 1.9018,                0.29752,                   0.75,                0.30722,                0.11657,                 1.8669,                 25.454,                 1.6489,                0.00058,                0.00058,                0.00058
                      2,                 2.2044,                 5.2929,                 1.7008,                0.04488,                0.35417,                0.04381,                0.01767,                 2.1431,                  20.19,                 1.8516,              0.0011683,              0.0011683,              0.0011683
                      3,                 2.3075,                 4.3727,                 1.8612,                0.02052,                0.79167,                0.01908,                0.00748,                    nan,                    nan,                    nan,              0.0017448,              0.0017448,              0.0017448
                      4,                 2.4815,                 6.1517,                 2.1195,                 0.0513,                0.52083,                0.04451,                0.01604,                 2.6324,                 48.329,                 2.5999,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.5608,                 5.1327,                 2.1037,                 0.0085,                0.08333,                0.00369,                0.00111,                 3.2586,                    nan,                 2.9785,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.9226,                  4.337,                 2.1501,                0.00367,                0.22917,                0.00437,                0.00083,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.4367,                 3.1393,                 1.9812,                0.00033,                0.02083,                0.00017,                  2e-05,                 3.6879,                 140.54,                 44.732,               0.001901,               0.001901,               0.001901
                      8,                 2.5039,                 2.5101,                 2.0174,                 0.0013,                0.04167,                0.00057,                0.00022,                 4.0169,                    inf,                 643.33,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.2372,                 2.1735,                 1.8563,                 0.0013,                0.04167,                0.00057,                0.00022,                 4.0169,                    inf,                 643.33,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.3976,                 3.0368,                   1.97,                 0.0013,                0.04167,                0.00057,                0.00022,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.3127,                 2.1814,                 1.8683,                0.00033,                0.02083,                0.00033,                0.00033,                    nan,                    nan,                    nan,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.2832,                 2.0436,                 2.0172,                  0.001,                 0.0625,                0.00095,                 0.0003,                 4.2508,                    inf,                 114.53,               0.001802,               0.001802,               0.001802
                     13,                 2.2312,                 1.8893,                 1.8355,                  0.001,                 0.0625,                0.00091,                0.00024,                    nan,                    nan,                    nan,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.0997,                 1.9058,                 1.8191,                  0.001,                 0.0625,                0.00127,                0.00045,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     15,                  2.155,                 1.8191,                 1.8293,                0.00373,                0.20833,                0.00244,                0.00048,                    nan,                    nan,                    nan,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.2838,                 1.8402,                 1.9335,                0.00651,                 0.3125,                0.00444,                0.00176,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.1537,                 1.8607,                 1.8086,                0.01293,                0.20833,                0.00616,                0.00275,                    nan,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                     18,                 2.0568,                 1.9216,                 1.8658,                0.06724,                0.29167,                0.03458,                0.01335,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.0188,                 1.6903,                 1.7221,                0.44143,                0.20833,                0.18234,                0.08439,                    nan,                    nan,                    nan,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.8961,                 1.7094,                 1.7192,                0.59341,                0.33333,                0.30804,                0.13198,                 2.1524,                 1.8838,                 2.4178,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.9099,                 1.6136,                 1.6959,                0.44064,                0.37752,                0.29544,                0.13649,                 1.9363,                 1.8171,                 2.0132,              0.0016238,              0.0016238,              0.0016238
                     22,                  1.912,                 1.4963,                 1.7026,                0.39457,                 0.4375,                0.28307,                 0.1339,                 2.0555,                 2.0892,                 2.0452,               0.001604,               0.001604,               0.001604
                     23,                 1.8475,                 1.5854,                 1.6886,                0.31288,                0.16667,                0.14993,                0.06211,                 2.6386,                 3.6577,                 2.6099,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.8077,                 1.5194,                 1.6354,                0.39531,                0.16357,                0.14229,                0.07167,                 2.7793,                 4.5064,                 2.8241,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.8836,                 1.4841,                 1.6782,                0.39531,                0.16357,                0.14229,                0.07167,                 2.7793,                 4.5064,                 2.8241,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.8171,                 1.6227,                 1.7105,                0.62208,                0.20833,                0.23631,                0.10366,                 2.5144,                 3.1947,                 2.6703,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.8009,                 1.4786,                 1.6307,                0.69485,                0.22917,                0.25832,                0.11574,                 2.6417,                 3.2887,                 2.7575,               0.001505,               0.001505,               0.001505
                     28,                 1.8566,                 1.5631,                 1.7146,                0.41423,                0.39583,                0.28907,                0.12101,                 2.4583,                 2.4762,                 2.2865,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.7982,                 1.5321,                 1.6265,                0.51733,                  0.375,                0.38098,                0.15822,                 2.4215,                 2.0066,                  2.214,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.9226,                 1.5556,                 1.7022,                0.47644,                0.39583,                0.37072,                 0.1385,                 2.2463,                 1.7758,                 2.0877,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.8563,                 1.4965,                 1.6734,                0.46282,                0.54167,                0.44095,                0.19656,                  1.957,                 1.6636,                 1.8604,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.8132,                 1.4925,                 1.6444,                0.47842,                0.58333,                0.48865,                 0.2283,                 1.9126,                 1.5896,                 1.8157,               0.001406,               0.001406,               0.001406
                     33,                 1.8557,                 1.8441,                 1.6677,                0.54764,                0.58333,                0.46237,                0.20226,                 1.8572,                 1.5569,                 1.7943,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.7918,                 1.4202,                 1.6372,                0.54428,                0.64583,                0.51219,                 0.2271,                 1.8229,                 1.4989,                 1.7862,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.7844,                 1.4754,                 1.6592,                0.41406,                0.58333,                0.49085,                0.24065,                 1.8409,                 1.4734,                 1.8245,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.8105,                 1.4825,                 1.7012,                0.47029,                 0.6875,                0.53642,                0.25152,                 1.9061,                 1.4693,                 1.8669,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.7193,                 1.3252,                  1.529,                0.47941,                0.52083,                0.46447,                0.21707,                 1.9081,                 1.6269,                 1.8531,               0.001307,               0.001307,               0.001307
                     38,                 1.8072,                 1.4192,                 1.6182,                0.47535,                0.45833,                0.42753,                0.19968,                 1.9248,                 1.7626,                   1.84,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.7275,                 1.4292,                 1.5742,                0.43115,                    0.5,                0.50082,                0.26537,                 1.8165,                 1.5543,                 1.7878,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.688,                 1.4087,                 1.5962,                0.50606,                 0.6875,                0.60885,                0.31017,                 1.7423,                 1.3522,                 1.7562,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6818,                 1.3163,                 1.4951,                0.50606,                 0.6875,                0.60885,                0.31017,                 1.7423,                 1.3522,                 1.7562,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.8537,                 1.5011,                 1.7228,                 0.7022,                0.58333,                0.67728,                0.32323,                 1.7786,                 1.3412,                 1.7783,               0.001208,               0.001208,               0.001208
                     43,                 1.8126,                 1.5423,                 1.7018,                 0.7172,                0.58122,                0.66021,                0.31236,                 1.8214,                 1.4123,                 1.8232,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.765,                 1.3624,                 1.5808,                0.76123,                 0.5625,                0.65132,                0.28617,                 1.9066,                 1.5522,                 1.9043,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.8328,                 1.5047,                 1.6975,                0.72973,                0.54167,                0.64009,                 0.2855,                 1.9125,                 1.5795,                 1.8731,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.7669,                 1.3893,                 1.5562,                 0.7176,                0.52083,                0.65436,                0.29723,                 1.8427,                 1.5288,                 1.8298,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.704,                  1.406,                 1.5556,                0.61677,                0.63717,                0.70076,                 0.3503,                 1.7449,                 1.3973,                 1.7677,               0.001109,               0.001109,               0.001109
                     48,                 1.7153,                 1.4104,                 1.5827,                0.60458,                0.72917,                0.71216,                0.35925,                 1.7655,                 1.3468,                 1.7798,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.7202,                 1.3904,                  1.624,                0.51753,                0.66667,                0.64125,                0.36082,                 1.7683,                 1.3027,                 1.7709,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.6401,                 1.3964,                 1.5255,                0.58194,                0.63811,                0.64857,                0.35551,                 1.7409,                  1.325,                 1.7464,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.7462,                 1.3434,                 1.6095,                0.65325,                0.66667,                 0.6653,                0.33512,                 1.7959,                 1.3027,                 1.7669,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5964,                 1.2202,                 1.5082,                0.60787,                0.66667,                 0.6705,                0.32899,                 1.7921,                 1.3064,                 1.7685,                0.00101,                0.00101,                0.00101
                     53,                 1.6866,                 1.2525,                 1.5093,                0.63076,                0.56952,                 0.6101,                0.31102,                  1.827,                 1.3065,                 1.7935,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.716,                 1.2981,                 1.5363,                0.55303,                0.54167,                0.55569,                0.28844,                 1.8583,                  1.374,                 1.8395,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.5917,                 1.2322,                 1.4563,                0.54292,                0.60417,                  0.559,                0.29547,                 1.8304,                 1.3535,                 1.8149,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.7099,                 1.2572,                 1.5206,                0.54747,                0.60417,                0.59548,                0.30981,                 1.8403,                 1.3486,                 1.8051,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.7112,                 1.2736,                 1.5934,                0.54747,                0.60417,                0.59548,                0.30981,                 1.8403,                 1.3486,                 1.8051,               0.000911,               0.000911,               0.000911
                     58,                  1.803,                 1.3524,                 1.6215,                0.58343,                0.58357,                0.59469,                 0.2957,                 2.0209,                 1.3456,                 1.9216,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.7866,                 1.2838,                 1.6114,                0.61936,                    0.5,                0.55259,                0.26954,                 2.1331,                 1.3484,                 1.9958,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.7854,                 1.2251,                 1.5562,                0.58892,                    0.5,                0.55143,                0.26686,                 2.1653,                 1.3874,                 2.0143,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.7489,                 1.2865,                 1.5922,                0.60623,                0.60417,                0.61194,                0.29878,                 1.9376,                 1.3489,                 1.8402,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.7122,                 1.2572,                 1.5449,                0.70672,                0.58333,                0.67323,                 0.3238,                 1.8614,                 1.3434,                 1.7878,               0.000812,               0.000812,               0.000812
                     63,                 1.5913,                  1.187,                 1.4438,                0.72708,                0.58333,                  0.671,                0.31527,                 1.8563,                 1.3713,                 1.7844,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.6701,                 1.1955,                 1.5197,                0.71554,                  0.625,                0.68285,                0.32619,                 1.8279,                  1.387,                 1.7777,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.6992,                 1.2684,                 1.5606,                0.73015,                0.60417,                0.67899,                  0.317,                 1.8427,                 1.3974,                 1.8196,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.687,                 1.2577,                 1.5447,                0.75234,                 0.5625,                0.66072,                0.29871,                 1.8854,                 1.4058,                 1.8442,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.5972,                 1.3159,                 1.5439,                0.75458,                0.64064,                0.66578,                0.30353,                 1.8744,                   1.35,                 1.8244,               0.000713,               0.000713,               0.000713
                     68,                 1.6471,                  1.323,                 1.5175,                0.74774,                  0.625,                0.63933,                0.28568,                 1.9287,                   1.41,                 1.8435,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.5495,                 1.2021,                 1.4434,                0.69525,                0.60417,                0.61971,                0.28027,                 1.9199,                 1.4235,                 1.8165,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.5934,                  1.233,                 1.4586,                0.66418,                0.60417,                 0.6353,                0.29101,                 1.8928,                 1.4123,                 1.7878,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.5429,                 1.2021,                 1.4683,                 0.7278,                0.60417,                0.64379,                0.29631,                 1.8711,                  1.332,                   1.79,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.6671,                 1.2872,                 1.6338,                0.78773,                0.60417,                0.66119,                0.31715,                  1.816,                 1.2673,                 1.7627,               0.000614,               0.000614,               0.000614
                     73,                 1.6089,                 1.2254,                 1.5243,                0.78773,                0.60417,                0.66119,                0.31715,                  1.816,                 1.2673,                 1.7627,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.5409,                 1.1931,                 1.4686,                  0.743,                0.58333,                0.61294,                0.30924,                  1.859,                 1.3142,                 1.8001,              0.0005744,              0.0005744,              0.0005744
                     75,                  1.576,                 1.1985,                 1.4807,                0.74718,                0.60417,                0.63414,                0.30541,                 1.8581,                 1.3118,                 1.7925,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.5582,                 1.1739,                 1.4914,                0.76493,                0.60417,                0.61599,                0.30589,                 1.8527,                 1.3826,                 1.7836,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.6264,                 1.2041,                 1.5154,                0.71433,                0.60417,                0.66358,                0.33578,                  1.824,                 1.3022,                 1.7872,               0.000515,               0.000515,               0.000515
                     78,                 1.5795,                 1.2072,                 1.4797,                0.70971,                  0.625,                0.67088,                0.33531,                 1.8177,                  1.303,                  1.781,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.6076,                 1.2131,                 1.5041,                0.71968,                  0.625,                0.65709,                0.32765,                 1.8136,                 1.3196,                 1.7646,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.5796,                 1.1387,                  1.486,                0.72972,                0.58333,                0.65952,                0.32771,                 1.8487,                 1.3523,                 1.8002,              0.0004556,              0.0004556,              0.0004556
                     81,                  1.618,                 1.1686,                 1.4172,                0.78614,                0.61279,                0.68603,                0.31969,                 1.8544,                 1.3603,                  1.799,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.5392,                 1.0955,                 1.4048,                0.78713,                0.61642,                 0.6964,                0.32087,                 1.8739,                 1.3985,                 1.8013,               0.000416,               0.000416,               0.000416
                     83,                 1.5952,                 1.2222,                 1.5658,                0.78621,                0.64583,                0.70451,                0.32525,                 1.8526,                  1.374,                 1.7972,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.5786,                 1.1759,                  1.486,                0.80115,                0.64583,                0.69718,                 0.3296,                 1.8811,                 1.3403,                 1.8058,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.5661,                   1.12,                 1.4665,                0.81554,                0.66667,                0.69923,                0.33665,                 1.8738,                 1.3611,                 1.7948,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.6164,                 1.2098,                 1.5661,                0.80451,                0.66667,                0.70889,                0.34789,                 1.8368,                 1.3335,                 1.7831,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.5187,                 1.1583,                 1.4869,                 0.7657,                0.68093,                0.70855,                0.35171,                 1.8456,                 1.3687,                 1.7844,               0.000317,               0.000317,               0.000317
                     88,                 1.5199,                 1.1376,                 1.4829,                0.74368,                0.66667,                0.70374,                0.33737,                 1.8533,                 1.3679,                 1.7793,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.5282,                 1.1151,                 1.4301,                0.74368,                0.66667,                0.70374,                0.33737,                 1.8533,                 1.3679,                 1.7793,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.5753,                 1.2084,                 1.5289,                 0.7043,                 0.6875,                0.66382,                0.31031,                 1.8492,                 1.5086,                 1.7318,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.5639,                 1.2846,                 1.5759,                0.67811,                 0.6875,                  0.648,                0.31013,                 1.9031,                  1.548,                 1.7611,              0.0002378,              0.0002378,              0.0002378
                     92,                  1.574,                 1.2607,                 1.6265,                0.63131,                0.67788,                0.62828,                0.29079,                 1.9807,                 1.6224,                 1.8222,               0.000218,               0.000218,               0.000218
                     93,                 1.4979,                 1.1844,                 1.5405,                0.64652,                 0.6859,                0.63519,                0.29801,                 1.9407,                 1.6055,                 1.7923,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.5455,                 1.1935,                 1.5189,                0.68095,                0.72917,                 0.6563,                0.30972,                 1.9205,                 1.5456,                 1.7724,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.5546,                 1.2399,                 1.5837,                0.66443,                0.70833,                0.67703,                0.30202,                 1.9189,                 1.4993,                 1.7819,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.5428,                 1.1869,                 1.5191,                0.69146,                0.70833,                0.68812,                0.30676,                 1.9231,                 1.4504,                 1.7957,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.5124,                 1.1513,                 1.5284,                0.69326,                 0.6875,                0.69673,                0.31211,                  1.903,                 1.3928,                 1.7902,               0.000119,               0.000119,               0.000119
                     98,                 1.5124,                 1.1671,                 1.5554,                0.70031,                0.70833,                0.67169,                0.29969,                 1.9144,                 1.4622,                 1.7737,               9.92e-05,               9.92e-05,               9.92e-05
